District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,Label
Kolhapur,Black,75.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,50.0,115.94255739644076,6.5,828.8994243920287,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,90.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,75.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,55.0,114.45815614543832,7.0,1317.9825998026254,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,90.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,75.0,60.0,110.0,7.5,1200.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,60.0,110.0,7.5,1200.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,55.11475475298965,60.0,168.88883447735924,4.679187836050849,1583.6127112792692,39.17308533111084,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,1
Kolhapur,Black,90.0,60.0,110.0,7.5,1200.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,60.0,110.0,7.5,1200.0,34.1548992211482,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,184.45496648758376,2.7383343782611846,213.5162397288649,1.217700027480206,96.52900014652008,0.2739242902601957,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,1
Kolhapur,Black,75.0,50.0,115.0,6.5,1300.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,50.0,115.0,6.5,1300.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,46.47447537697254,30.354791534728164,115.0,10.157977156665556,798.5647428593454,47.711326172641336,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,1
Kolhapur,Black,90.0,50.0,115.0,6.5,1300.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,50.0,115.0,6.5,1300.0,35.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,19.58713120908413,94.50582492816118,13.508591287918556,12.19803186366776,188.554531250332,3.929412330547376,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,1
Kolhapur,Black,34.98390526229897,29.255543752649945,132.50132688695885,3.3380885705155574,928.7241229064824,27.034694801438413,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,1
Kolhapur,Black,80.0,55.0,100.0,7.435671211906273,1400.0,20.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,153.90143810750678,107.95418409071924,19.00750744512949,13.591233297597077,158.36148737830263,0.4262261384949406,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,1
Kolhapur,Black,90.0,55.0,100.0,7.0,1400.0,20.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,55.0,100.0,7.0,1400.0,20.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,55.0,100.0,7.0,1400.0,20.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,75.0,60.0,105.0,7.5,1500.0,25.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,60.0,105.0,7.5,1500.0,25.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,60.0,105.0,7.5,1500.0,25.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,90.0,60.0,105.0,7.5,1500.0,25.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,60.0,105.0,7.5,1500.0,25.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,60.0,105.0,7.5,1500.0,25.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,75.0,50.0,110.0,6.5,1000.0,30.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,50.0,110.0,6.5,1000.0,30.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,50.0,110.0,6.5,1000.0,30.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,90.0,50.0,110.0,6.5,1000.0,30.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,50.0,110.0,9.888104494696842,1000.0,30.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,1
Kolhapur,Black,100.0,50.0,93.2505784999963,6.5,1000.0,30.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,75.0,55.0,115.0,7.0,1100.0,35.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,55.0,115.0,7.0,1100.0,35.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,55.0,115.0,7.0,1100.0,35.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,90.0,55.0,115.0,7.0,1100.0,35.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,55.0,115.0,7.0,1100.0,35.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,55.0,115.0,7.0,1100.0,35.0,Sugarcane,DAP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,75.0,60.0,100.0,7.5,1200.0,20.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,60.0,100.0,7.5,1200.0,20.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,60.0,100.0,7.5,1200.0,20.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,169.0086241868652,114.38533360604406,8.906126287058846,0.4416063153352617,138.53789349882285,37.01298145216101,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,1
Kolhapur,Black,95.0,60.0,100.0,7.5,1200.0,20.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,60.0,100.0,7.5,1200.0,20.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,75.0,50.0,105.0,6.5,1300.0,25.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,50.0,105.0,6.5,1300.0,25.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,56.74114712500627,89.18795849688881,6.5,1300.0,22.96817672471454,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,90.0,50.0,105.0,6.5,1300.0,25.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,50.0,105.0,6.5,1300.0,27.42034468465156,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,50.0,105.0,6.5,1300.0,25.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,75.0,55.0,110.0,7.0,1400.0,30.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,88.54409592847901,58.96523610212312,110.0,7.0,1400.0,30.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,55.0,110.0,7.0,1400.0,30.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,90.0,55.0,110.0,7.0,1400.0,30.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,55.0,110.0,7.0,1400.0,30.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,55.0,110.0,7.0,1400.0,30.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,49.412666730809455,60.0,161.92454322819864,7.5,1500.0,14.337972561589009,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,80.0,60.0,115.0,7.5,1500.0,35.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,85.0,60.0,115.0,7.5,1500.0,35.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,90.0,60.0,115.0,7.5,1500.0,35.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,95.0,60.0,115.0,7.5,1500.0,35.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
Kolhapur,Black,100.0,60.0,115.0,7.5,1500.0,35.0,Sugarcane,MOP,https://youtu.be/2t5Am0xLTOo,0
