District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link
Kolhapur,Black,75.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,80.0,50.0,115.94255739644075,6.5,828.8994243920287,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,85.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,90.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,95.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,100.0,50.0,100.0,6.5,1000.0,20.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,75.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,80.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,85.0,55.0,114.45815614543831,7.0,1317.9825998026254,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,90.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,95.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,100.0,55.0,105.0,7.0,1100.0,25.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,75.0,60.0,110.0,7.5,1200.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,80.0,60.0,110.0,7.5,1200.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,55.114754752989654,60.0,168.88883447735924,4.679187836050849,1583.6127112792692,39.17308533111084,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
Kolhapur,Black,90.0,60.0,110.0,7.5,1200.0,30.0,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo
